user_id,date
e554f976-36eb-4d07-be19-144ff7f1b416,2020-01-05
4e849e4a-6bc9-45ac-8398-5cea217430de,2020-01-06
86a4be3a-e13c-4e7d-a017-34799c866425,2020-01-06
6c3f44bb-441d-4640-899a-f96e1918064b,2020-01-02
0f4bd366-8433-4ea9-b7e3-5e507fcfaa02,2020-01-23
0a0bb591-4e64-4751-9c58-898d0ebf9d95,2020-01-18
d75a6f2a-145e-4183-bb8a-e2d95c93c154,2020-01-29
67889f56-a58e-4122-b015-42dccc5a2ec2,2020-01-01
5da0336e-2cce-48c8-94e9-c0968433d930,2020-01-02
b8df8afb-23ed-4a0f-bb1d-4b5f5a2a94fd,2020-01-25
7657ee6f-6844-4bdc-8430-eda24a86bd9c,2020-01-21
0b367e41-5772-4267-ad02-620a532735d8,2020-01-29
f0bd0f49-4542-450c-a005-181a70c6e946,2020-01-22
c7469f3e-4c3a-4bb3-a775-49de280cb98c,2020-01-23
5ce63434-98e3-440e-a957-574442498f17,2020-01-19
7d1093e0-b795-496e-ba38-0c8767fefb5c,2020-01-12
8eeb39a7-6b3d-4fc4-8412-732172950478,2020-01-06
af1f32ad-8d99-44d9-8333-9b0d01c5b5a9,2020-01-22
d60d6873-2824-4b0d-9597-92fbdb3a4dfc,2020-01-22
dc711f48-3295-494a-8788-abe47708ddd3,2020-01-28
f5b96321-8526-4244-84f8-133cae89966c,2020-01-05
c59bea4e-1745-4687-a5f7-783361785a7c,2020-01-26
c6d9a0f4-b134-4219-b5cc-93f00fa2cc10,2020-01-28
9cf32fa5-bdfa-4e47-9905-f3355b380f84,2020-01-18
d5e2c4bf-c15f-407e-a29b-9b4ad87165af,2020-01-22
0486e6b9-72e7-4e77-8dae-2b485ce0d60a,2020-01-24
576148d7-97ed-4f10-88b2-1ec5590761e0,2020-01-23
2e3c4421-eea2-4a92-a2fa-f8b2b65a4ec1,2020-01-10
91e56983-3453-4713-85c8-ecb8f7c25f70,2020-01-30
d4cfbe01-6705-4b6c-9b7d-fd9b0232c0f5,2020-01-16
c7dff0d7-a3b1-4606-9725-d59d901b6bcb,2020-01-30
67234b66-cab4-4482-9128-c4a7b0cf517c,2020-01-29
9efb5e4d-243e-4640-8017-036f45ecdac3,2020-01-25
2b1e25b4-3499-4cb8-936e-585d4a417523,2020-01-19
7d3aec78-a2ec-45cd-a3de-2a0ea5173c4b,2020-01-15
